datetm,floor,parking,parkingarea,date,hour,minute
2022-01-13 11:28:00,T1 단기주차장지상층,77,993,2022-01-13,11,28
2022-01-13 11:28:00,T1 단기주차장지하1층,95,973,2022-01-13,11,28
2022-01-13 11:28:00,T1 단기주차장지하2층,93,1339,2022-01-13,11,28
2022-01-13 11:28:00,T2 단기주차장지상1층,435,988,2022-01-13,11,28
2022-01-13 11:28:00,T2 단기주차장지상2층,37,470,2022-01-13,11,28
2022-01-13 11:28:00,T2 단기주차장지상3층,14,448,2022-01-13,11,28
2022-01-13 11:28:00,T2 단기주차장지상4층,0,486,2022-01-13,11,28
2022-01-13 11:28:00,T2 단기주차장지하M층,68,751,2022-01-13,11,28
2022-01-13 11:28:00,T1 장기 P1 주차장,402,2762,2022-01-13,11,28
2022-01-13 11:28:00,T1 장기 P1 주차타워,775,1374,2022-01-13,11,28
2022-01-13 11:28:00,T1 장기 P2 주차장,190,2592,2022-01-13,11,28
2022-01-13 11:28:00,T1 장기 P2 주차타워,279,1375,2022-01-13,11,28
2022-01-13 11:28:00,T1 장기 P3 주차장,0,0,2022-01-13,11,28
2022-01-13 11:28:00,T1 예약주차장,4,1382,2022-01-13,11,28
2022-01-13 11:28:00,T2 장기 주차장,459,2847,2022-01-13,11,28
2022-01-13 11:28:00,T2 예약 주차장,12,936,2022-01-13,11,28
